[Sat May 24 14:22:55 2025] Waiting for activation...
[Sat May 24 14:22:55 2025] Ativado!
[Sat May 24 14:22:55 2025] State machine creation...
[Sat May 24 14:22:55 2025] Connected to Pixhawk
[Sat May 24 14:22:58 2025] Finding systems...
[Sat May 24 14:22:58 2025] Object YoloCtrl created.
[Sat May 24 14:22:58 2025] Threads initialization...
[Sat May 24 14:22:58 2025] Threads initialized
[Sat May 24 14:22:58 2025] Listening messages...
[Sat May 24 14:22:58 2025] State Machine created
[Sat May 24 14:23:50 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:50 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:50 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:51 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:51 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:51 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:52 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:52 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:52 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:53 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:53 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:53 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:54 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:54 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:54 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:55 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:55 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:56 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:56 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:56 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:57 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:57 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:57 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:58 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:58 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:58 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:59 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:59 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:59 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:00 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:00 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:00 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:01 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:01 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:02 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:02 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:02 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:03 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:03 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:03 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:04 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:04 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:04 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:05 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:05 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:05 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:06 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:06 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:06 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:07 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:07 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:07 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:08 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:08 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:09 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:09 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:09 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:10 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:10 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:10 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:11 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:11 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:11 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:12 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:12 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:12 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:13 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:13 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:13 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:14 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:14 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:14 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:15 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:15 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:16 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:16 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:16 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:17 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:17 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:17 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:18 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:18 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:18 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:19 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:19 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:19 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:20 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:20 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:20 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:24:21 2025] Action: TURNLEFT, Power: 36
